"","gains_losses","value","case"
"1","none_roof_convection_gain",432914.196150656,"U001_Caso01_1a7_ac_in1_1.csv"
"2","none_floor_convection_gain",372579.417873432,"U001_Caso01_1a7_ac_in1_1.csv"
"3","none_intwalls_convection_gain",545197.867778971,"U001_Caso01_1a7_ac_in1_1.csv"
"4","south_extwalls_convection_gain",114840.624544106,"U001_Caso01_1a7_ac_in1_1.csv"
"5","north_extwalls_convection_gain",110903.970861309,"U001_Caso01_1a7_ac_in1_1.csv"
"6","west_extwalls_convection_gain",349837.688710726,"U001_Caso01_1a7_ac_in1_1.csv"
"7","east_extwalls_convection_gain",76093.463081532,"U001_Caso01_1a7_ac_in1_1.csv"
"8","south_windows_convection_gain",13228.872731259,"U001_Caso01_1a7_ac_in1_1.csv"
"9","west_windows_convection_gain",15491.3599051543,"U001_Caso01_1a7_ac_in1_1.csv"
"10","none_roof_convection_loss",-73990.2297796558,"U001_Caso01_1a7_ac_in1_1.csv"
"11","none_floor_convection_loss",-69393.050964768,"U001_Caso01_1a7_ac_in1_1.csv"
"12","none_intwalls_convection_loss",-80765.7568952829,"U001_Caso01_1a7_ac_in1_1.csv"
"13","south_extwalls_convection_loss",-129999.043873019,"U001_Caso01_1a7_ac_in1_1.csv"
"14","north_extwalls_convection_loss",-37358.9350055088,"U001_Caso01_1a7_ac_in1_1.csv"
"15","west_extwalls_convection_loss",-135058.859280005,"U001_Caso01_1a7_ac_in1_1.csv"
"16","east_extwalls_convection_loss",-33323.8273234814,"U001_Caso01_1a7_ac_in1_1.csv"
"17","south_windows_convection_loss",-88262.3602140754,"U001_Caso01_1a7_ac_in1_1.csv"
"18","west_windows_convection_loss",-69946.5509227961,"U001_Caso01_1a7_ac_in1_1.csv"
"19","internal_gains",789971.250096586,"U001_Caso01_1a7_ac_in1_1.csv"
"20","cooling",-2292413.46515535,"U001_Caso01_1a7_ac_in1_1.csv"
"21","heating",6984.13885478175,"U001_Caso01_1a7_ac_in1_1.csv"
"22","vn_window_loss",-199392.932146104,"U001_Caso01_1a7_ac_in1_1.csv"
"23","vn_window_gain",25637.7757358243,"U001_Caso01_1a7_ac_in1_1.csv"
"24","vn_interzone_loss",-91725.2052181388,"U001_Caso01_1a7_ac_in1_1.csv"
"25","vn_interzone_gain",470018.955095217,"U001_Caso01_1a7_ac_in1_1.csv"
"26","none_roof_convection_gain",465607.579026394,"U001_Caso01_1a7_ac_nbr_1.csv"
"27","none_floor_convection_gain",427535.806580395,"U001_Caso01_1a7_ac_nbr_1.csv"
"28","none_intwalls_convection_gain",604696.340789054,"U001_Caso01_1a7_ac_nbr_1.csv"
"29","south_extwalls_convection_gain",115625.021615417,"U001_Caso01_1a7_ac_nbr_1.csv"
"30","north_extwalls_convection_gain",120233.476002437,"U001_Caso01_1a7_ac_nbr_1.csv"
"31","west_extwalls_convection_gain",363572.706228398,"U001_Caso01_1a7_ac_nbr_1.csv"
"32","east_extwalls_convection_gain",82108.5242906359,"U001_Caso01_1a7_ac_nbr_1.csv"
"33","south_windows_convection_gain",13427.914193373,"U001_Caso01_1a7_ac_nbr_1.csv"
"34","west_windows_convection_gain",16553.2807865953,"U001_Caso01_1a7_ac_nbr_1.csv"
"35","none_roof_convection_loss",-42057.9636451438,"U001_Caso01_1a7_ac_nbr_1.csv"
"36","none_floor_convection_loss",-34592.8533903395,"U001_Caso01_1a7_ac_nbr_1.csv"
"37","none_intwalls_convection_loss",-38991.687566708,"U001_Caso01_1a7_ac_nbr_1.csv"
"38","south_extwalls_convection_loss",-92801.6303502638,"U001_Caso01_1a7_ac_nbr_1.csv"
"39","north_extwalls_convection_loss",-28305.4798374493,"U001_Caso01_1a7_ac_nbr_1.csv"
"40","west_extwalls_convection_loss",-95285.978035033,"U001_Caso01_1a7_ac_nbr_1.csv"
"41","east_extwalls_convection_loss",-25166.4464975464,"U001_Caso01_1a7_ac_nbr_1.csv"
"42","south_windows_convection_loss",-74739.6627585329,"U001_Caso01_1a7_ac_nbr_1.csv"
"43","west_windows_convection_loss",-60027.5726006309,"U001_Caso01_1a7_ac_nbr_1.csv"
"44","internal_gains",797974.083884599,"U001_Caso01_1a7_ac_nbr_1.csv"
"45","cooling",-2439774.45359583,"U001_Caso01_1a7_ac_nbr_1.csv"
"46","heating",13167.1862398276,"U001_Caso01_1a7_ac_nbr_1.csv"
"47","vn_window_loss",-173620.264656364,"U001_Caso01_1a7_ac_nbr_1.csv"
"48","vn_window_gain",28670.1424249876,"U001_Caso01_1a7_ac_nbr_1.csv"
"49","vn_interzone_loss",-15691.2565202461,"U001_Caso01_1a7_ac_nbr_1.csv"
"50","vn_interzone_gain",88417.8834464777,"U001_Caso01_1a7_ac_nbr_1.csv"
"51","none_roof_convection_gain",479477.844362188,"U001_Caso01_1a7_hi_in1_1.csv"
"52","none_floor_convection_gain",470603.93261911,"U001_Caso01_1a7_hi_in1_1.csv"
"53","none_intwalls_convection_gain",640502.907302779,"U001_Caso01_1a7_hi_in1_1.csv"
"54","south_extwalls_convection_gain",119380.355347948,"U001_Caso01_1a7_hi_in1_1.csv"
"55","north_extwalls_convection_gain",117647.224927563,"U001_Caso01_1a7_hi_in1_1.csv"
"56","west_extwalls_convection_gain",375489.037428758,"U001_Caso01_1a7_hi_in1_1.csv"
"57","east_extwalls_convection_gain",78894.7108812152,"U001_Caso01_1a7_hi_in1_1.csv"
"58","south_windows_convection_gain",12940.358146119,"U001_Caso01_1a7_hi_in1_1.csv"
"59","west_windows_convection_gain",15334.9541574724,"U001_Caso01_1a7_hi_in1_1.csv"
"60","none_roof_convection_loss",-38122.964278775,"U001_Caso01_1a7_hi_in1_1.csv"
"61","none_floor_convection_loss",-54700.896326411,"U001_Caso01_1a7_hi_in1_1.csv"
"62","none_intwalls_convection_loss",-64817.5279990571,"U001_Caso01_1a7_hi_in1_1.csv"
"63","south_extwalls_convection_loss",-85777.0135372345,"U001_Caso01_1a7_hi_in1_1.csv"
"64","north_extwalls_convection_loss",-22760.5354024647,"U001_Caso01_1a7_hi_in1_1.csv"
"65","west_extwalls_convection_loss",-94377.8924959853,"U001_Caso01_1a7_hi_in1_1.csv"
"66","east_extwalls_convection_loss",-18433.9970361137,"U001_Caso01_1a7_hi_in1_1.csv"
"67","south_windows_convection_loss",-68377.7704101996,"U001_Caso01_1a7_hi_in1_1.csv"
"68","west_windows_convection_loss",-54201.8078882488,"U001_Caso01_1a7_hi_in1_1.csv"
"69","internal_gains",808845.603775218,"U001_Caso01_1a7_hi_in1_1.csv"
"70","cooling",-2054285.40629869,"U001_Caso01_1a7_hi_in1_1.csv"
"71","heating",7421.25989772754,"U001_Caso01_1a7_hi_in1_1.csv"
"72","vn_window_loss",-835355.014380348,"U001_Caso01_1a7_hi_in1_1.csv"
"73","vn_window_gain",25579.3864674487,"U001_Caso01_1a7_hi_in1_1.csv"
"74","vn_interzone_loss",-190847.6241943,"U001_Caso01_1a7_hi_in1_1.csv"
"75","vn_interzone_gain",456215.056935028,"U001_Caso01_1a7_hi_in1_1.csv"
"76","none_roof_convection_gain",323307.483435092,"U001_Caso01_1a7_vn_nbr_1.csv"
"77","none_floor_convection_gain",359619.128979344,"U001_Caso01_1a7_vn_nbr_1.csv"
"78","none_intwalls_convection_gain",450835.541917983,"U001_Caso01_1a7_vn_nbr_1.csv"
"79","south_extwalls_convection_gain",43351.9304799594,"U001_Caso01_1a7_vn_nbr_1.csv"
"80","north_extwalls_convection_gain",77011.4040119992,"U001_Caso01_1a7_vn_nbr_1.csv"
"81","west_extwalls_convection_gain",230394.514314779,"U001_Caso01_1a7_vn_nbr_1.csv"
"82","east_extwalls_convection_gain",47590.8856258856,"U001_Caso01_1a7_vn_nbr_1.csv"
"83","south_windows_convection_gain",59.0308006723348,"U001_Caso01_1a7_vn_nbr_1.csv"
"84","west_windows_convection_gain",1991.49537746228,"U001_Caso01_1a7_vn_nbr_1.csv"
"85","none_roof_convection_loss",-33891.1998818637,"U001_Caso01_1a7_vn_nbr_1.csv"
"86","none_floor_convection_loss",-97757.5014574463,"U001_Caso01_1a7_vn_nbr_1.csv"
"87","none_intwalls_convection_loss",-81788.7293799684,"U001_Caso01_1a7_vn_nbr_1.csv"
"88","south_extwalls_convection_loss",-83664.6447288541,"U001_Caso01_1a7_vn_nbr_1.csv"
"89","north_extwalls_convection_loss",-19444.9218558766,"U001_Caso01_1a7_vn_nbr_1.csv"
"90","west_extwalls_convection_loss",-87176.7489174768,"U001_Caso01_1a7_vn_nbr_1.csv"
"91","east_extwalls_convection_loss",-15858.3632122668,"U001_Caso01_1a7_vn_nbr_1.csv"
"92","south_windows_convection_loss",-73172.6654527809,"U001_Caso01_1a7_vn_nbr_1.csv"
"93","west_windows_convection_loss",-56743.3904746097,"U001_Caso01_1a7_vn_nbr_1.csv"
"94","internal_gains",755761.226800146,"U001_Caso01_1a7_vn_nbr_1.csv"
"95","vn_window_loss",-2110190.86445847,"U001_Caso01_1a7_vn_nbr_1.csv"
"96","vn_window_gain",2825.10270337628,"U001_Caso01_1a7_vn_nbr_1.csv"
"97","vn_interzone_loss",-371351.113433429,"U001_Caso01_1a7_vn_nbr_1.csv"
"98","vn_interzone_gain",715498.702378136,"U001_Caso01_1a7_vn_nbr_1.csv"
